ENCAN #;LOT #;PRIX OUVERTURE;VALEUR MIN POUR VENDRE;ESTIMATION MIN;ESTIMATION MAX;GROUPE-CATÉGORIE;ARTISTE;DIMENSION (en po);DESCRIPTION;MÉDIUM;LIVRAISON;PHOTO 1;PHOTO 2;PHOTO 3
233;3; 120,00  $ ;; 400  $ ; 600  $ ;Art-Paintings;Marc Siméon;48 x 40;Pointe bleue;Huile sur toile;oui;3_1.jfif;3_2.jfif;
233;4; 150,00  $ ;; 400  $ ; 600  $ ;Art-Paintings;Jean Gaudreau;40 x 28;1996/Visage;Huile sur toile;oui;4_1.jfif;4_2.jfif;4_3.jfif
233;5; 350,00  $ ;; 600  $ ; 800  $ ;Art-Paintings;Jean-Paul Jérome;5,5 x 7;1996/Abstraction;Encre;oui;5_1.jfif;5_2.jfif;
233;6; 3 500,00  $ ; 6 500,00  $ ; 5 000  $ ; 7 000  $ ;Art-Prints/Lithographs;Jean-Paul Riopelle;29 x 41;Jazz;Lithographie;oui;6_1.jfif;6_2.jfif;
233;7; 1 750,00  $ ; 3 000,00  $ ; 2 500  $ ; 3 500  $ ;Art-Prints/Lithographs;Jean-Paul Riopelle;23 x 28;1981/Les oies 1;Lithographie (signée dans la plaque);oui;7_1.jfif;7_2.jfif;7_3.jfif
233;8; 1 250,00  $ ; 2 500,00  $ ; 2 000  $ ; 3 000  $ ;Art-Prints/Lithographs;Jean-Paul Riopelle;25,5 x 18,5;1985-89/où un ours est chassé debout;Lithographie;oui;8_1.jfif;8_2.jfif;8_3.jfif
233;9; 60,00  $ ;; 200  $ ; 400  $ ;Art-Prints/Lithographs;Jean-Paul Riopelle;15 x 32,75;Série derrière le miroir;Lithographie (non signée);oui;9_1.jfif;9_2.jfif;
233;9a; 60,00  $ ;; 200  $ ; 400  $ ;Art-Prints/Lithographs;Jean-Paul Riopelle;15 x 32,75;Série derrière le miroir;Lithographie (non signée);oui;9a_1.jfif;9a_2.jfif;
233;9b; 60,00  $ ;; 150  $ ; 250  $ ;Art-Prints/Lithographs;Jean-Paul Riopelle;15 x 11;Série derrière le miroir;Lithographie (non signée);oui;9b_1.jfif;9b_2.jfif;
233;9c; 60,00  $ ;; 150  $ ; 250  $ ;Art-Prints/Lithographs;Jean-Paul Riopelle;15 x 11;Série derrière le miroir;Lithographie (non signée);oui;9c_1.jfif;9c_2.jfif;
233;10; 750,00  $ ;; 1 200  $ ; 1 800  $ ;Art-Paintings;Christian Bergeron;40 x 30;Paysage automne;Huile sur toile;oui;10_1.jfif;10_2.jfif;
233;11; 900,00  $ ;; 1 800  $ ; 2 800  $ ;Art-Paintings;Armand Tatossian;24 x 30;Vieux Montréal;Huile sur toile;oui;11_1.jfif;11_2.jfif;11_3.jfif
233;12; 250,00  $ ;; 650  $ ; 1 050  $ ;Art-Paintings;Stefan Horik;18 x 18;Surprise d'automne;Huile sur toile;oui;12_1.jfif;12_2.jfif;
233;13; 250,00  $ ;; 500  $ ; 800  $ ;Art-Paintings;Léo Ayotte;8 x 10;Paysage;Huile sur panneau;oui;13_1.jfif;13_2.jfif;
233;14; 250,00  $ ;; 500  $ ; 1 000  $ ;Art-Prints/Lithographs;Pablo Picasso;14 x 11;1969/Contemporary art;Photo-litho signée;oui;14_1.jfif;14_2.jfif;
233;15; 250,00  $ ;; 500  $ ; 1 000  $ ;Art-Prints/Lithographs;Georges Braque;12 x 9;Femme, lune et étoiles;Lithographie;oui;15_1.jfif;15_2.jfif;15_3.jfif
233;16; 75,00  $ ;; 200  $ ; 400  $ ;Art-Prints/Lithographs;Anatole Kranyansky;14,75 x 11,5;Paire;Sérigraphie sur aluminium;oui;16_1.jfif;16_2.jfif;
233;17; 75,00  $ ;; 200  $ ; 350  $ ;Art-Paintings;Rodolphe Duguay;4,5 x 5;1957/Paysage et moutons;Huile sur panneau;oui;17_1.jfif;17_2.jfif;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
